,Name,Pret,Image
0,"Sac rafie, 1000 x 500 mm,",189lei,https://www.bricodepot.ro/media/catalog/product/5/9/5945780201467-sac-rafie-1000-x-500-mm-7527.png?optimize=high&fit=bounds&height=300&width=240
1,"Kit sifon pentru chiuveta cu 1 cuva, diametru 36 mm • Cooke & Lewis",8900lei,https://www.bricodepot.ro/media/catalog/product/1/0/100629567.jpg?optimize=high&fit=bounds&height=300&width=240
2,"Baterie de bucatarie, monocomanda, finisaj cromat • Reecomer Sea",4850lei,https://www.bricodepot.ro/media/catalog/product/6/9/6970392010069-baterie-bucatarie-sea-cartus-40-mm-3859.jpg?optimize=high&fit=bounds&height=300&width=240
3,"Baterie de bucatarie, monocomanda, finisaj cromat • Cooke & Lewis Dora",14900lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602929932-baterie-de-bucatarie-dora-monocomanda-cartus-ceramic-35-mm-corp-alama-finisaj-cromat-8880.jpg?optimize=high&fit=bounds&height=300&width=240
4,"Baterie de bucatarie, monocomanda, finisaj nichel periat • Cooke & Lewis Huka",8700lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602929864-baterie-de-bucatarie-huka-moncomanda-cartus-ceramic-40-mm-corp-alama-finisaj-nichel-perlat-9474.jpg?optimize=high&fit=bounds&height=300&width=240
5,"Baterie de bucatarie, monocomanda, finisaj bej • Cooke & Lewis Katiki",29700lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602930525-baterie-de-bucatarie-katiki-monocomanda-cartus-ceramic-35-mm-corp-alama-finisaj-bej-7581.jpg?optimize=high&fit=bounds&height=300&width=240
6,"Kit bucatarie, stejar, 200 cm • Niki","1,85000lei",https://www.bricodepot.ro/media/catalog/product/1/0/101052581.jpg?optimize=high&fit=bounds&height=300&width=240
7,"Kit bucatarie, stejar, 200 cm • Bonita","2,45000lei",https://www.bricodepot.ro/media/catalog/product/1/0/101060875.jpg?optimize=high&fit=bounds&height=300&width=240
8,"Chiuveta inox, reversibila, 76 x 43.5 cm, adancime 15 cm, gri • Cooke & Lewis",33000lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602900955-chiuveta-din-inox-39-x-36-x-15-cm-adancime-15-cm-reversibila-finisaj-anticalcar-7972.jpg?optimize=high&fit=bounds&height=300&width=240
9,"Kit bucatarie, gri, 200 cm • Kim","2,05000lei",https://www.bricodepot.ro/media/catalog/product/5/9/5902012169254.jpg?optimize=high&fit=bounds&height=300&width=240
10,"Chiuveta inox, reversibila, 80 x 50 cm, adancime 15 cm, gri • Cooke & Lewis",23500lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602901440-chiuveta-din-inox-80-x-50-cm-adancime-15-cmreversibila-finisaj-anticalcar-4066.jpg?optimize=high&fit=bounds&height=300&width=240
11,"Chiuveta cuart compozit, reversibila, 76 x 43 cm, adancime 15 cm, bej • Cooke & Lewis",63100lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602901525-chiuveta-din-cuart-compozit-76-x-43-cm-adancime-15-cm-culoare-bej-8338.jpg?optimize=high&fit=bounds&height=300&width=240
12,Aragz metalica inox silver,96500lei,https://www.bricodepot.ro/media/catalog/product/6/4/6420112331733-aragz-metalica-inox-silver-6773.jpg?optimize=high&fit=bounds&height=300&width=240
13,"Set chiuveta granit cu baterie, BSG 611, reversibila, 78 x 50 cm, adancime 20 cm, bej • Franke",97000lei,https://www.bricodepot.ro/media/catalog/product/7/6/7612981907303.jpg?optimize=high&fit=bounds&height=300&width=240
14,"Balama slide on cabinet, unghi 111 GR • GoodHome",3000lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602643784-balama-slide-on-sertar-unghi-111-2760.jpg?optimize=high&fit=bounds&height=300&width=240
15,"Set 5 lavete microfibra, 400 x 380 mm, multicolor",4200lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602564607-laveta-pentru-uz-universal-din-fribra-culoare-multicolor-2683.jpg?optimize=high&fit=bounds&height=300&width=240
16,"Scaun pliant, gri, metal, 79 x 43 x 38.5 cm • Cordoba",8000lei,https://www.bricodepot.ro/media/catalog/product/5/9/5999058328387-sb-scaun-pliant-cordoba-gri-8489.jpg?optimize=high&fit=bounds&height=300&width=240
17,"Baterie de bucatarie, monocomanda, finisaj cromat • Cooke & Lewis Huka",10500lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602929857-baterie-de-bucatarie-huka-moncomanda-cartus-ceramic-40-mm-corp-alama-finisaj-cromat-8157.jpg?optimize=high&fit=bounds&height=300&width=240
18,"Baterie de bucatarie, monocomanda, finisaj nichel periat • Cooke & Lewis Katiki",29700lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602930006_03c.jpg?optimize=high&fit=bounds&height=300&width=240
19,"Corp de baza, 800 mm, alb • GoodHome",35400lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602637462-corp-baza-800mm-2.jpg?optimize=high&fit=bounds&height=300&width=240
20,"Chiuveta inox, 46.5 cm diametru, adancime 16.3 cm, gri • Cooke & Lewis",25000lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602900757-chiuveta-din-inox-rotunda-adancime-163-cm-grosime-05-mm-finisaj-lustruit-3269.jpg?optimize=high&fit=bounds&height=300&width=240
21,"Chiuveta inox, reversibila, 76 x 43.5 cm, adancime 15 cm, gri • Cooke & Lewis",25500lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602900658-chiuveta-din-inox-39-x-36-x-15-cm-adancime-15-cm-reversibila-finisaj-satin-9573.jpg?optimize=high&fit=bounds&height=300&width=240
22,"Set galeata cu mop rotativ, 16 L, multicolor • Proff",7900lei,https://www.bricodepot.ro/media/catalog/product/1/0/100995895.jpg?optimize=high&fit=bounds&height=300&width=240
23,"Kit bucatarie, alb, 200 cm • Roxane","2,11000lei",https://www.bricodepot.ro/media/catalog/product/5/9/5902012169261.jpg?optimize=high&fit=bounds&height=300&width=240
24,"Corp de baza, 600 mm, alb • GoodHome",27100lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602637455-corp-baza-600mm-2156.jpg?optimize=high&fit=bounds&height=300&width=240
25,"Corp superior, 600 mm, alb • GoodHome",25600lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602637639-corp-superior-600mm-8763.jpg?optimize=high&fit=bounds&height=300&width=240
26,Aragaz Metalica Maro Capac Sticla,93000lei,https://www.bricodepot.ro/media/catalog/product/6/4/6420112331719-aragaz-metalica-maro-capac-sticla-3618.jpg?optimize=high&fit=bounds&height=300&width=240
27,"Scaun living, alb, polipropilena, 81 x 46.5 x 56 cm • Lunaria",13900lei,https://www.bricodepot.ro/media/catalog/product/5/9/5999058330144-scaun-de-living-lunaria-picioare-lemn-alb-619.jpg?optimize=high&fit=bounds&height=300&width=240
